ReviewDate,Comment_id,ReviewDesc,ReviewerName,Rating,product_name,Product_ids
2019-02-22,10537,"The Fisher Price Soothe n Snuggle gift is absolutely adorable! This little guy is a welcome addition in our home.
The material is plush and incredibly soft. Press the belly and it plays classic lullabies like twinkle, twinkle little star plus other soothing music that is sure to calm and relax your little one. His belly glows through a seashell shaped piece while the abdomen area rises and falls gently as if he's really breathing.
All the different features are easily accessible through velcro pieces on his back. The buttons are all conveniently labeled with little pictures so you won't have any problems adjusting the volume up and down or turning off the glowing light feature. I really like how you're able to customize the features to whatever your baby prefers. For example, you can have the music playing but disable the light and breathing features OR have the lights on with the music but shut off the moving belly.
One of the first things I noticed was how heavy this toy is. Not heavy for an adult but my 18 month old can just barely hold it up. The weight is the result of the gigantic battery which fills up most of the inside. While the outside material is cozy and soft, the huge rectangular shaped battery makes it awkward to cuddle. I can't imagine any child snuggling up with this comfortably since it would be like lying with a plush covered brick.
My daughter (who is 18 months old) was not initially impressed with the gift. She hardly even glanced at it. I ended up putting it beside her diaper changing area and the soothing lights and sounds are now a wonderful distraction when I need her to be still. This also would have been a great toy to have when she was an inconsolable infant. I think babies under one are far more likely to enjoy this toy, compared to older toddlers who may get bored easily.
High quality, just like most Fisher Price toys but I'm giving 4 stars because I wouldn't describe this as snuggly.",Swapnika,4,Monogram Cushion,17281
2018-12-17,10103,This feels nice and soft. My son didn’t like the music or the weight. He likes our dogs ikea lion better. I ended up taking the battery pack out. This is a very expensive night light that I had to take out of my son’s crib because he was stepping on the gift to lean over. I’ve removed the pack and he plays with as a stuffed animal.,Swetcha,3,BTS Wonderful Twenty,17681
2019-05-31,12460,"good fantastic 
",vanitha ,5,Love Journal,17400
2019-11-26,17461,"Very beautiful flowers. I have ordered for one of my friend and she loved it.
",Priyanka,5,BTS Pretty In Pink,15833
2019-04-08,10942,"Get it quickly! Packaging to protect the item in the package not top Amazon! The plush be it: there should be more choices, I don't find the gift to my liking, but the choices offered are top so...",harini priya,3,BTS Charming Red Roses,15873
2019-03-29,10832,"thank you so much, book the surprise team. I surprised my mom with this cake. it was very yummy and tasty. I felt happy. 
",kiran,5,BTS Chocolate Fantasy Cake,6524
2019-04-25,11299,"the anniversary  surprise was very fantastic 
",sri,5,Californium Anniversary Surprise,16969
2019-11-26,17449,"Thank you, BTS. The cake was really good.
",Priyanka,5,BTS Heart Chocolate Cake,6168
2019-11-27,17769,"It was such a small and cute surprise gifts
",Priyanka,5,World’s Best Behen Hamper,18812
2019-04-02,10850,Between only one spray unit when it was purchased is paid two units. In the invoice there are two units. I need to be reimbursed from the value for 1 spray unit. ,jaidhurga,1,BTS Choco Velvette Cake,5832
2019-05-28,12330,"nice delivery and superb flowers 
",ravi,5,BTS Perform My Love,15822
2019-06-27,13240,Good quality only the reel is very simple beyond what I thought ,shiva,3,Open Me Surprise Balloon Box,18184
2019-04-09,10948,"Wow…It is a wonderful surprise. I can’t expect this. my family surprised me a whole day. I loved it surprise. Good work team
",Damini,5,A Day Full of Surprises,18188
2018-12-13,10041,"Nice tasty cake with perfect midnight delivery at on-time.
",Ram,5,BTS Lemon Blueberry Cake,15894
2019-03-11,10626,"Such a nice idea to show your love to your loved ones with their picture magnet.
",sravana,5,All Veg – You Are Always Mine,17358
2018-12-06,9900,"Thanks for delivering those fresh and pretty flowers to us.
",Sruthi,5,BTS Beautiful Carnation Bunch,15858
2019-05-01,11562,"outstanding we felt very happy the whole ride was fantastic.we had a great day there. They surprised with the full of surprise gifts.
",santosh ,5,Canaan Joy Ride Surprise,18274
2018-12-06,9916,"Product well below the images, the grass came all shredded and releasing the fibers !!!  I just did not return by the urgency to use. ",Praveen,1,BTS Memorable Expression,15868
2019-04-24,11227,"affordable price
",prakash,5,BTS Pretty In Pink,15833
2019-07-08,13527,"Great affordable service that has always delivered their surprises and in a timely manner. I highly recommend this website if you’re looking to please your significant other, even from afar.thanks…
",ravi prakash ,5,Welcome Home Surprise,18543
2019-04-22,11141,"Very easy to purchase online.  Delivery was quick (same -day) and hassle-free.  Flowers were good quality (and as shown in the pictures).
",harsha,5,BTS Beautiful Carnation Bunch,15848
